filename,width,height,class,xmin,ymin,xmax,ymax
2008_003323_jpg.rf.1ed30362eb72b3569bd6d52029032e59.jpg,500,375,motorbike,124,30,447,374
2008_003323_jpg.rf.1ed30362eb72b3569bd6d52029032e59.jpg,500,375,motorbike,0,80,131,252
2008_003344_jpg.rf.ad82d519f1f4364e4571fc023ae417aa.jpg,498,500,horse,210,79,443,360
2008_003344_jpg.rf.ad82d519f1f4364e4571fc023ae417aa.jpg,498,500,person,243,19,361,275
2008_003344_jpg.rf.ad82d519f1f4364e4571fc023ae417aa.jpg,498,500,person,33,69,187,456
2010_004597_jpg.rf.d61942071c3771ef62e03a90e079adb5.jpg,500,375,person,352,77,496,369
2010_004597_jpg.rf.d61942071c3771ef62e03a90e079adb5.jpg,500,375,person,285,67,395,185
2010_004597_jpg.rf.d61942071c3771ef62e03a90e079adb5.jpg,500,375,person,238,72,323,143
2010_004597_jpg.rf.d61942071c3771ef62e03a90e079adb5.jpg,500,375,diningtable,121,125,476,374
2010_004597_jpg.rf.d61942071c3771ef62e03a90e079adb5.jpg,500,375,person,87,111,287,374
2010_004597_jpg.rf.d61942071c3771ef62e03a90e079adb5.jpg,500,375,person,66,100,140,282
2010_004597_jpg.rf.d61942071c3771ef62e03a90e079adb5.jpg,500,375,person,38,74,139,181
2010_006287_jpg.rf.881bfe83e0817cf663ee1e63dcdc4e14.jpg,375,500,person,73,120,317,499
2008_003318_jpg.rf.c67d3eccd1734fe2ec4474882375eb63.jpg,500,333,person,105,29,499,332
2008_003318_jpg.rf.c67d3eccd1734fe2ec4474882375eb63.jpg,500,333,person,280,121,466,332
2009_002519_jpg.rf.8ccdbf1cbdbb1f397b579b61c3b5a151.jpg,500,375,bicycle,371,167,454,299
2009_002527_jpg.rf.a0ef791913b90d8873e145a943282e1e.jpg,333,500,cat,56,93,311,462
2009_002523_jpg.rf.f2dd9ff067fe71446683785762f7c524.jpg,500,375,chair,317,216,450,365
2009_002523_jpg.rf.f2dd9ff067fe71446683785762f7c524.jpg,500,375,chair,251,198,278,264
2009_002523_jpg.rf.f2dd9ff067fe71446683785762f7c524.jpg,500,375,chair,230,189,291,275
2009_002523_jpg.rf.f2dd9ff067fe71446683785762f7c524.jpg,500,375,chair,141,192,183,210
2009_002523_jpg.rf.f2dd9ff067fe71446683785762f7c524.jpg,500,375,sofa,62,207,282,374
2009_002523_jpg.rf.f2dd9ff067fe71446683785762f7c524.jpg,500,375,chair,100,168,133,213
2010_002445_jpg.rf.c068f661c3f629f73eb99099fce41a72.jpg,500,375,person,4,233,96,374
fourth_053_png_jpg.rf.24eec5b3ef18d64104ca54a302f7f4f1.jpg,1280,720,person,724,297,796,491
fourth_053_png_jpg.rf.24eec5b3ef18d64104ca54a302f7f4f1.jpg,1280,720,person,903,310,991,553
fourth_053_png_jpg.rf.24eec5b3ef18d64104ca54a302f7f4f1.jpg,1280,720,person,1020,56,1057,133
fourth_053_png_jpg.rf.24eec5b3ef18d64104ca54a302f7f4f1.jpg,1280,720,person,1110,30,1130,91
fourth_053_png_jpg.rf.24eec5b3ef18d64104ca54a302f7f4f1.jpg,1280,720,person,608,213,659,295
fourth_053_png_jpg.rf.24eec5b3ef18d64104ca54a302f7f4f1.jpg,1280,720,person,683,153,740,232
fourth_053_png_jpg.rf.24eec5b3ef18d64104ca54a302f7f4f1.jpg,1280,720,person,970,59,994,97
2008_003329_jpg.rf.3a95d3718f9de7fc80f69e701acad386.jpg,500,375,person,384,136,499,374
2008_003329_jpg.rf.3a95d3718f9de7fc80f69e701acad386.jpg,500,375,person,254,90,405,374
2008_003329_jpg.rf.3a95d3718f9de7fc80f69e701acad386.jpg,500,375,person,225,122,278,255
2008_003329_jpg.rf.3a95d3718f9de7fc80f69e701acad386.jpg,500,375,person,153,115,189,209
2008_003329_jpg.rf.3a95d3718f9de7fc80f69e701acad386.jpg,500,375,person,164,107,177,128
2008_003329_jpg.rf.3a95d3718f9de7fc80f69e701acad386.jpg,500,375,bicycle,236,300,426,374
2008_003329_jpg.rf.3a95d3718f9de7fc80f69e701acad386.jpg,500,375,bicycle,423,295,499,374
2008_003329_jpg.rf.3a95d3718f9de7fc80f69e701acad386.jpg,500,375,bicycle,228,182,276,279
2008_003329_jpg.rf.3a95d3718f9de7fc80f69e701acad386.jpg,500,375,bicycle,152,154,185,216
2008_003329_jpg.rf.3a95d3718f9de7fc80f69e701acad386.jpg,500,375,car,347,134,499,218
fourth_042_png_jpg.rf.bf1ac13ec7de230d7ad5db1b8aa753ac.jpg,1280,720,person,675,94,712,217
fourth_042_png_jpg.rf.bf1ac13ec7de230d7ad5db1b8aa753ac.jpg,1280,720,face,624,219,637,236
fourth_042_png_jpg.rf.bf1ac13ec7de230d7ad5db1b8aa753ac.jpg,1280,720,person,610,212,660,295
fourth_042_png_jpg.rf.bf1ac13ec7de230d7ad5db1b8aa753ac.jpg,1280,720,person,184,436,289,626
fourth_042_png_jpg.rf.bf1ac13ec7de230d7ad5db1b8aa753ac.jpg,1280,720,person,975,62,991,97
fourth_042_png_jpg.rf.bf1ac13ec7de230d7ad5db1b8aa753ac.jpg,1280,720,person,1017,75,1038,98
2009_002561_jpg.rf.f6fde9fd74d6256d139066b6f1277390.jpg,500,333,cat,0,1,409,332
2008_005295_jpg.rf.7f79e2e60445d8973bc77cc432ce1b8a.jpg,500,375,bottle,226,237,262,258
2018-05-08_4-36-20-239420_leftImg8bit_jpg.rf.f0df5cbe7566a210de2577149aa72039.jpg,1920,1080,medium,1479,483,1573,736
point03_142_png_jpg.rf.b51721dd1c41c4ae59087958d302086d.jpg,1280,720,person,515,144,669,511
2008_003374_jpg.rf.6cc7d782c46cc9980f60991e7f138adb.jpg,400,88,dog,6,22,102,83
2008_003374_jpg.rf.6cc7d782c46cc9980f60991e7f138adb.jpg,400,88,dog,362,2,378,33
2010_001586_jpg.rf.70ced1769a6c5cc0b72eaa37997ac514.jpg,500,399,person,195,209,294,380
2010_001586_jpg.rf.70ced1769a6c5cc0b72eaa37997ac514.jpg,500,399,person,278,257,336,380
2010_001586_jpg.rf.70ced1769a6c5cc0b72eaa37997ac514.jpg,500,399,person,316,251,390,382
2010_001586_jpg.rf.70ced1769a6c5cc0b72eaa37997ac514.jpg,500,399,person,380,221,459,389
2010_001586_jpg.rf.70ced1769a6c5cc0b72eaa37997ac514.jpg,500,399,person,322,141,419,288
2010_001586_jpg.rf.70ced1769a6c5cc0b72eaa37997ac514.jpg,500,399,train,1,79,498,310
2010_001586_jpg.rf.70ced1769a6c5cc0b72eaa37997ac514.jpg,500,399,sofa,260,282,453,383
2008_001402_jpg.rf.01bd08960d04d1429957dd83e7c81910.jpg,333,500,person,97,148,233,442
